City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
183,Huilong,CN,31.8111,121.655,51.01,73,90,5.99,overcast clouds
184,Egvekinot,RU,66.3167,-179.1667,-26.05,83,0,9.04,clear sky
185,Bonfim,BR,3.0833,-59.95,91.4,45,71,9.62,broken clouds
186,Matai,TZ,-8.3,31.5167,60.85,89,72,2.15,light rain
187,Ballangen,NO,68.3428,16.8315,8.6,85,18,3.44,few clouds
188,Shimoda,JP,34.6667,138.95,35.01,76,0,1.99,clear sky
189,Sao Filipe,CV,14.8961,-24.4956,76.78,56,100,11.1,overcast clouds
190,Khatanga,RU,71.9667,102.5,-45.65,77,5,1.43,clear sky
191,Bangkalan,ID,-7.0455,112.7351,77.0,88,20,10.36,few clouds
192,Mount Isa,AU,-20.7333,139.5,87.8,45,90,5.75,light rain
193,Matagami,CA,49.7502,-77.6328,-2.2,84,90,8.05,light snow
194,Te Anau,NZ,-45.4167,167.7167,42.96,87,59,1.39,broken clouds
195,Puerto Leguizamo,CO,-0.1934,-74.7819,93.38,39,73,5.23,broken clouds
196,Rocha,UY,-34.4833,-54.3333,82.54,46,77,15.75,moderate rain
197,Bonito,BR,-21.1211,-56.4819,85.19,70,83,10.04,broken clouds
198,Muros,ES,42.7762,-9.0603,55.99,74,100,7.0,overcast clouds
199,Torbay,CA,47.6666,-52.7314,30.0,86,90,18.41,overcast clouds
200,Honiara,SB,-9.4333,159.95,78.94,82,100,5.32,light rain
201,Esperance,AU,-33.8667,121.9,59.0,82,0,12.66,clear sky
202,Pecos,US,31.4229,-103.4932,62.6,19,1,29.93,clear sky
203,Bichura,RU,50.5881,107.6022,7.34,92,99,6.6,light snow
204,Colac,AU,-38.3333,143.5833,55.0,86,9,3.8,clear sky
205,Yellowknife,CA,62.456,-114.3525,-14.01,76,40,5.75,scattered clouds
206,Pacific Grove,US,36.6177,-121.9166,52.0,80,72,3.85,broken clouds
207,Robertsport,LR,6.7533,-11.3686,81.82,78,73,8.32,light rain
208,Broome,US,42.2506,-75.833,19.99,67,90,10.36,light snow
209,Rockland,US,41.1668,-74.0496,27.0,46,0,1.01,clear sky
210,Salalah,OM,17.0151,54.0924,73.4,56,20,3.44,few clouds
211,Hobyo,SO,5.3505,48.5268,76.55,75,13,15.86,few clouds
212,Nur,PL,52.6683,22.3221,30.99,82,100,5.01,light snow
213,Paamiut,GL,61.994,-49.6678,30.25,87,93,8.79,overcast clouds
214,Smithers,CA,54.7804,-127.1743,14.0,79,75,5.75,light snow
215,San Cristobal,VE,7.7669,-72.225,82.4,61,40,11.5,scattered clouds
216,Vao,NC,-22.6667,167.4833,75.56,83,56,22.3,broken clouds
217,Cabo San Lucas,MX,22.8909,-109.9124,75.0,60,1,3.44,clear sky
218,Osinki,RU,52.8432,49.5132,30.25,98,95,14.63,light snow
219,Rovaniemi,FI,66.5,25.7167,12.2,85,100,9.22,light snow
220,Kapaa,US,22.0752,-159.319,71.6,88,40,17.27,moderate rain
221,Qaanaaq,GL,77.484,-69.3632,-5.67,72,99,1.81,overcast clouds
222,Shahr-E Babak,IR,30.1165,55.1186,47.64,57,6,22.41,clear sky
223,Risod,IN,19.9667,76.7833,66.07,31,1,8.72,clear sky
224,Ust-Nera,RU,64.5667,143.2,-24.27,77,100,5.97,overcast clouds
225,Hamamatsu,JP,34.7,137.7333,39.0,68,5,4.0,clear sky
226,Killybegs,IE,54.6333,-8.45,39.2,75,75,18.41,broken clouds
227,Coahuayana,MX,18.7333,-103.6833,84.2,45,1,5.66,clear sky
228,Pekalongan,ID,-6.8886,109.6753,57.99,10,100,9.1,moderate rain
229,Kintampo,GH,8.0563,-1.7306,92.46,26,54,1.45,broken clouds
230,Bundaberg,AU,-24.85,152.35,71.01,88,7,5.75,clear sky
231,Oliveira Dos Brejinhos,BR,-12.3169,-42.8961,99.01,20,18,2.55,few clouds
