City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
641,Monrovia,LR,84.2,broken clouds,6.3005,-10.7969,Sunset Inn
649,Maceio,BR,84.2,light rain,-9.6658,-35.7353,Hotel Ponta Verde Maceió
652,Champerico,GT,86.0,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
655,Novo Aripuana,BR,81.81,broken clouds,-5.1206,-60.3797,Hotel Ezequiel
657,Rio Grande,BR,84.2,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
658,Limbang,MY,80.6,broken clouds,4.75,115.0,Purnama Hotel
659,Luganville,VU,78.39,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
661,San Ignacio,BZ,75.2,clear sky,17.1561,-89.0714,Rainforest Haven Inn
663,Porto Novo,BJ,86.0,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
667,Tutoia,BR,89.6,few clouds,-2.7619,-42.2744,Pousada Guará's
669,Salto,UY,77.0,moderate rain,-31.3833,-57.9667,Gran Hotel Uruguay
671,Upington,ZA,89.6,few clouds,-28.4478,21.2561,River Place Manor
673,Conceicao Do Coite,BR,87.66,broken clouds,-11.5639,-39.2828,Coité Plaza Hotel
674,Conceicao Do Araguaia,BR,84.56,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
675,Viedma,AR,75.99,scattered clouds,-40.8135,-62.9967,Hotel Cristal
679,Port Moresby,PG,75.2,heavy intensity rain,-9.4431,147.1797,Lamana Hotel
687,Pisco,PE,75.99,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
689,Harper,LR,80.56,moderate rain,4.375,-7.7169,Screensaver
