City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
220,Naze,JP,2021-01-27 18:41:58,28.3667,129.4833,56.53,74,42,10.94
221,Paamiut,GL,2021-01-27 18:41:58,61.994,-49.6678,25.61,85,100,6.98
222,Herat,AF,2021-01-27 18:41:58,34.5,62.0,38.84,59,0,2.75
223,Hobyo,SO,2021-01-27 18:37:40,5.3505,48.5268,76.48,76,3,19.64
224,Dingle,PH,2021-01-27 18:38:42,10.9995,122.6711,75.36,89,100,9.13
225,Bardiyah,LY,2021-01-27 18:41:59,31.7561,25.0865,54.34,56,0,17.18
226,Ahuimanu,US,2021-01-27 18:41:59,21.4447,-157.8378,75.2,69,90,11.5
227,Bainbridge,US,2021-01-27 18:41:59,47.6262,-122.5212,39.99,87,75,3.31
228,Oriximina,BR,2021-01-27 18:41:59,-1.7656,-55.8661,84.0,75,88,3.69
229,Sept-Iles,CA,2021-01-27 18:39:20,50.2001,-66.3821,27.0,50,5,3.44
230,Norman Wells,CA,2021-01-27 18:37:04,65.282,-126.8329,-32.8,68,40,3.44
231,Bartica,GY,2021-01-27 18:41:59,6.4,-58.6167,86.0,66,75,16.11
232,Komsomolskiy,UZ,2021-01-27 18:41:59,40.4272,71.7189,30.2,69,0,4.61
233,Harker Heights,US,2021-01-27 18:37:22,31.0835,-97.6597,61.0,38,1,14.97
234,Okakarara,NA,2021-01-27 18:42:00,-20.5833,17.4333,75.63,56,100,2.95
235,Codrington,AU,2021-01-27 18:42:00,-38.2667,141.9667,61.72,75,99,12.39
236,Mogadishu,SO,2021-01-27 18:42:00,2.0371,45.3438,77.41,82,0,22.1
237,Cayenne,GF,2021-01-27 18:41:36,4.9333,-52.3333,82.4,74,75,5.75
238,Potsdam,DE,2021-01-27 18:39:19,52.3989,13.0657,36.0,78,72,1.01
239,Lensk,RU,2021-01-27 18:42:00,60.7253,114.9278,-41.84,78,81,1.95
240,Eureka,US,2021-01-27 18:42:00,40.8021,-124.1637,46.99,85,100,5.01
241,Vestmanna,FO,2021-01-27 18:41:09,62.1564,-7.1664,30.2,100,40,6.91
242,Tura,IN,2021-01-27 18:40:09,25.5198,90.2201,57.0,66,0,2.75
243,Ouegoa,NC,2021-01-27 18:42:01,-20.35,164.4333,77.45,81,100,11.83
244,Longyearbyen,SJ,2021-01-27 18:42:01,78.2186,15.6401,6.8,72,20,16.11
245,Deputatskiy,RU,2021-01-27 18:42:01,69.3,139.9,-24.48,87,100,1.99
246,Fengcheng,CN,2021-01-27 18:42:01,40.4536,124.0717,23.45,97,100,6.69
247,Boa Vista,BR,2021-01-27 18:41:27,2.8197,-60.6733,87.8,48,75,9.22
248,Ayan,RU,2021-01-27 18:42:01,56.45,138.1667,-5.64,89,100,9.69
249,Georgetown,MY,2021-01-27 18:42:01,5.4112,100.3354,79.0,94,40,4.61
250,Nishihara,JP,2021-01-27 18:42:02,26.1842,127.7558,64.4,68,40,16.11
251,Reconquista,AR,2021-01-27 18:42:02,-29.15,-59.65,91.58,40,0,10.25
252,Ketchikan,US,2021-01-27 18:42:02,55.3422,-131.6461,26.6,86,20,10.36
253,Amuntai,ID,2021-01-27 18:42:02,-2.4177,115.2494,73.02,97,95,1.83
254,Hirara,JP,2021-01-27 18:37:15,24.8,125.2833,63.61,76,100,15.99
255,Geraldton,AU,2021-01-27 18:42:02,-28.7667,114.6,66.2,68,0,12.66
256,Tautira,PF,2021-01-27 18:42:02,-17.7333,-149.15,82.4,69,75,1.14
257,Kungurtug,RU,2021-01-27 18:42:02,50.5994,97.5228,-0.26,87,100,1.07
258,Moindou,NC,2021-01-27 18:42:03,-21.6924,165.677,71.6,83,90,2.3
259,Teya,RU,2021-01-27 18:42:03,60.3778,92.6267,-27.53,81,100,2.13
260,Nichinan,JP,2021-01-27 18:42:03,31.6,131.3667,44.01,93,0,4.0
261,Mount Isa,AU,2021-01-27 18:37:32,-20.7333,139.5,82.4,61,40,18.41
262,Sao Felix Do Xingu,BR,2021-01-27 18:42:03,-6.6447,-51.995,85.53,69,44,2.37
263,Killybegs,IE,2021-01-27 18:42:03,54.6333,-8.45,48.99,87,0,12.66
264,Soe,ID,2021-01-27 18:42:03,-9.8607,124.284,66.9,99,100,3.96
265,Fairbanks,US,2021-01-27 18:42:03,64.8378,-147.7164,-5.01,69,40,2.28
266,Tuatapere,NZ,2021-01-27 18:42:04,-46.1333,167.6833,50.0,86,100,14.0
267,Garowe,SO,2021-01-27 18:42:04,8.4054,48.4845,69.94,48,0,14.45
268,Ponta Delgada,PT,2021-01-27 18:42:04,37.7333,-25.6667,64.99,94,40,14.97
269,Lucea,JM,2021-01-27 18:42:04,18.451,-78.1736,84.2,65,20,21.85
270,Jumla,NP,2021-01-27 18:42:04,29.2747,82.1838,33.37,44,0,5.46
271,Talnakh,RU,2021-01-27 18:42:04,69.4865,88.3972,-22.11,85,100,4.32
272,Chernyshevskiy,RU,2021-01-27 18:42:04,63.0128,112.4714,-46.1,81,41,1.36
273,Gaogou,CN,2021-01-27 18:42:04,34.0175,119.1886,39.67,72,0,11.92
274,Faya,SA,2021-01-27 18:42:05,18.3851,42.4509,60.8,58,0,5.75
275,Keti Bandar,PK,2021-01-27 18:42:05,24.1447,67.4497,63.21,65,0,7.54
276,Bathsheba,BB,2021-01-27 18:42:05,13.2167,-59.5167,82.4,65,40,19.57
277,Asyut,EG,2021-01-27 18:41:49,27.181,31.1837,60.8,44,0,5.75
278,Ancud,CL,2021-01-27 18:37:45,-41.8697,-73.8203,66.0,77,75,12.66
